,0
0,0.6508994713891083
1,0.637221977169522
2,0.7022065582216013
3,0.5999403981321071
4,0.6385621910063702
5,0.6924336157070498
6,0.635960869301708
7,0.7187710348226006
8,0.769539715601678
9,0.7728208404960761
10,0.7108859979569965
11,0.719528031159877
12,0.7690469972012726
13,0.6185536144116126
14,0.6801771147663024
15,0.7257707903120368
16,0.6872776117810574
17,0.7379378855138866
18,0.7160601028190559
19,0.7409047395871738
20,0.7418429976512851
21,0.720887661446409
22,0.6037965759544636
23,0.6776781409743322
24,0.6945343329336233
25,0.6790422555315438
26,0.7272951041793887
27,0.7224782386976863
28,0.7144966851208499
29,0.7157341281815522
30,0.6772222877926662
31,0.6083222630835075
32,0.6462237862301815
33,0.7713125812026562
34,0.7693778357436182
35,0.7381808180091575
36,0.6371804892835634
37,0.6795485217965208
38,0.6281565189173882
39,0.6883202162585911
40,0.7187818065574438
41,0.6728508638227051
42,0.6858452203687775
43,0.7550921016592974
44,0.6415995993547622
45,0.6220919817696003
46,0.6766953213434767
47,0.7514339790687982
48,0.6540771316670602
49,0.6941185312903257
50,0.6504702324784397
51,0.7678211149853764
52,0.6936472820138044
53,0.6993083169181006
54,0.7524790707317908
55,0.7665448670186141
56,0.7203821926525023
57,0.6769927135537095
58,0.7471296514850039
59,0.7188168654139787
60,0.694666208576465
61,0.6684517287108196
62,0.7115572770477305
63,0.624637705796222
64,0.6286889367867302
65,0.7604494922672379
66,0.6592846412512988
67,0.6164562641761742
68,0.6925849728791819
69,0.7787221494418749
70,0.6263880040148306
71,0.6309282126516401
72,0.7180139566138917
73,0.7808465838427223
74,0.6930293152865796
75,0.6573006898346928
76,0.6995518970677653
77,0.7403914714659935
78,0.6714204381419073
79,0.6803341028972233
80,0.6508761992855918
81,0.7481611855452526
82,0.6028831954265987
83,0.7250717384043125
84,0.6713528264422775
85,0.6772222907351536
86,0.6699064691028673
87,0.6789654974740891
88,0.7587907760733557
89,0.6800900873862638
90,0.6365114231352113
91,0.7660409060308495
92,0.6458873413490609
93,0.6206394751274154
94,0.7055842216323106
95,0.7501542955695948
96,0.7276614719740118
97,0.6819829331374158
98,0.6927085524086274
99,0.7431878979478607
100,0.6823406048825081
101,0.6242379837989884
102,0.6867156324259943
103,0.7886183384312464
104,0.7378194288321148
105,0.6725575114397134
106,0.7536708402628521
107,0.7952620299538831
108,0.652513551241665
109,0.6498337381373487
110,0.7708671275572455
111,0.7026762203593467
112,0.6974001708396284
113,0.6566973684612495
114,0.7474468565562984
115,0.7427744809549452
116,0.6536934894575159
117,0.6750136742931159
118,0.7918205973047752
119,0.733854173468145
120,0.6474938590837508
121,0.7043157343047247
122,0.7482854559125087
123,0.6667947408058461
124,0.6645773258529687
